,type,Bathrooms,rooms_available,Electricity,Internet,cluster
669,3,0.0,0.23076923076923078,1,1,1
670,2,0.125,0.38461538461538464,1,1,3
671,2,0.125,0.38461538461538464,1,1,3
672,2,0.0,0.23076923076923078,1,1,3
673,3,0.0,0.23076923076923078,1,1,1
674,3,0.0,0.23076923076923078,1,1,1
675,3,0.0,0.23076923076923078,0,0,0
676,3,0.0,0.3076923076923077,1,1,1
677,3,0.0,0.38461538461538464,1,1,1
678,3,0.0,0.23076923076923078,0,0,0
679,3,0.0,0.4615384615384616,1,1,1
680,3,0.0,0.4615384615384616,1,1,1
681,3,0.0,0.38461538461538464,1,1,1
682,3,0.0,0.3076923076923077,1,1,1
684,2,0.0,0.0,0,0,2
685,2,0.125,0.23076923076923078,0,0,2
686,3,0.125,0.23076923076923078,0,0,0
687,3,0.0,0.23076923076923078,0,0,0
688,3,0.125,0.4615384615384616,0,0,0
689,3,0.125,0.3076923076923077,0,0,0
690,3,0.0,0.23076923076923078,0,0,0
691,3,0.0,0.23076923076923078,0,0,0
692,3,0.0,0.23076923076923078,0,0,0
693,3,0.125,0.38461538461538464,0,0,0
694,3,0.125,0.38461538461538464,0,0,0
695,3,0.125,0.3076923076923077,0,0,0
696,3,0.125,0.3076923076923077,0,0,0
697,3,0.0,0.23076923076923078,0,0,0
698,3,0.0,0.23076923076923078,0,0,0
699,3,0.0,0.23076923076923078,0,0,0
700,3,0.125,0.3076923076923077,0,0,0
701,3,0.125,0.3076923076923077,0,0,0
702,3,0.125,0.3076923076923077,0,0,0
704,3,0.0,0.15384615384615385,0,0,0
705,3,0.125,0.3076923076923077,1,1,1
706,2,0.0,0.23076923076923078,1,1,3
707,2,0.25,0.15384615384615385,1,1,3
709,2,0.125,0.38461538461538464,1,1,3
710,2,0.125,0.3076923076923077,1,1,3
711,2,0.25,0.15384615384615385,1,1,3
712,2,0.125,0.38461538461538464,1,1,3
714,2,0.0,0.23076923076923078,1,1,3
715,2,0.125,0.38461538461538464,1,1,3
716,2,0.125,0.23076923076923078,1,1,3
718,3,0.125,0.38461538461538464,1,1,1
719,3,0.125,0.23076923076923078,1,1,1
721,3,0.125,0.3076923076923077,1,1,1
722,3,0.125,0.5384615384615385,1,1,1
723,3,0.0,0.15384615384615385,0,0,0
724,3,0.0,0.23076923076923078,0,0,0
725,3,0.125,0.3076923076923077,1,1,1
726,3,0.0,0.23076923076923078,1,1,1
727,3,0.125,0.23076923076923078,1,1,1
728,3,0.25,0.23076923076923078,1,1,1
729,2,0.0,0.15384615384615385,1,1,3
730,3,0.125,0.38461538461538464,1,1,1
731,3,0.125,0.4615384615384616,1,1,1
732,3,0.0,0.3076923076923077,1,1,1
733,2,0.125,0.07692307692307693,0,0,2
734,2,0.125,0.07692307692307693,0,0,2
